dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,11,3723.2911332721424,6931.448431551469,5105.521328245859,3418,228.72908133411352,102.59328640013653,0.44853625871156494,44.853625871156495
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,12,6931.448431551469,12903.900242964326,9438.11071072439,3335,271.76701649175413,116.90587994975623,0.43016949392496767,43.01694939249677
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,13,12903.900242964326,24022.48867962863,17484.830977887188,3430,316.9428571428571,135.5140898062188,0.42756631598464423,42.75663159846442
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,14,24022.48867962863,44721.359549995796,32798.313515458896,3380,398.67692307692306,158.22826425828038,0.39688342891055894,39.688342891055896
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,15,44721.359549995796,83255.32074018731,61140.197242489,3491,459.964766542538,189.35957912413392,0.4116827915918681,41.16827915918681
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,16,83255.32074018731,154991.89875483367,113030.0698992343,3456,539.5179398148148,225.6261647095069,0.41819955938249476,41.81995593824948
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,17,154991.89875483367,288539.98118144256,211726.80740256666,3443,639.8945686900959,275.9888970065961,0.43130370300151577,43.130370300151576
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,18,288539.98118144256,537159.1767636873,394024.4291608173,3354,725.6961836613,312.87749271776147,0.4311411576387578,43.11411576387578
ceacce0,MuScaRi_Area,Area only,ac733d9bd2f6,4,19,537159.1767636873,999999.9999999991,737272.3066268894,3373,845.0465461013935,370.6659685209925,0.4386337891457614,43.86337891457614
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,0,3.9999999999999987,7.446582266544274,5.470156829993845,3418,47.41691047396138,29.825602368125647,0.6290077120166684,62.900771201666835
