dataset_id,gift_dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,490.330802988228,0.21338316459039952,21.33831645903995
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,491.2296581808043,0.6828693553117717,68.28693553117718
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,504.6275063096822,0.46840010398172427,46.840010398172424
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,392.81113356455035,0.20642883347430532,20.642883347430534
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,487.98820800846835,0.2663691091749281,26.636910917492813
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,534.5626308808933,0.2326320621792002,23.263206217920022
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,2,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,301.8074107671473,0.41954924460815163,41.954924460815164
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,2,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,284.8304460254267,0.2643823590020403,26.43823590020403
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,2,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,389.56897986653996,0.20472502737351742,20.472502737351743
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,2,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,536.9681190915409,0.29310486849974937,29.31048684997494
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,2,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,484.18216997254365,0.21070738986281579,21.07073898628158
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,3,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,318.36018450729335,0.44255962629889795,44.255962629889794
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,3,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,351.30023782825555,0.3260802589436695,32.608025894366946
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,3,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,441.9365388448432,0.2322450571997891,23.22450571997891
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,3,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,512.3728399888877,0.2796794978105282,27.96794978105282
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,3,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,482.2940041590486,0.20988569399117246,20.988569399117246
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,4,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,618.8417895408988,0.860265838648197,86.0265838648197
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,4,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,673.7700030353296,0.6253997959592791,62.5399795959279
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,4,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,574.0432041125779,0.30166932366070304,30.166932366070306
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,4,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,496.9713953662843,0.2712725957239543,27.12725957239543
ceacce0,da569da,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,4,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,487.2737652177161,0.21205279662296048,21.205279662296046
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,0,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,234.9279984853702,0.3265786749613209,32.65786749613209
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,0,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,457.5996601124459,0.42474840490984717,42.47484049098472
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,0,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,766.2867397402232,0.40269652327817407,40.269652327817404
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,0,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,723.6346219132433,0.3949970643631241,39.49970643631241
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,0,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,512.527757920697,0.2230428809673746,22.30428809673746
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,1,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,182.9771274228393,0.25436060498212976,25.436060498212978
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,1,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,352.870443099563,0.327537738575986,32.7537738575986
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,1,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,671.7054138379963,0.3529924515089318,35.299245150893185
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,1,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,667.7291403705177,0.3644809718179682,36.44809718179682
