dataset_id,gift_dataset_id,model_name,config_hash,run_dir,prediction_mode,observed_area_policy,aggregation,fold,n_samples,feature_count,feature_names,architecture_variant,layer_sizes,effort_transform,asymptote_transform,weibull_parameterization,target_transform,sr_mean,sr_median,pred_mean,pred_median,bias_slope_log_area,r2,d2,rmse,mape,mean_relative_bias,median_relative_bias,log1p_r2,log1p_d2,log1p_rmse,log1p_mae,nrmse
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,2.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1621.6757358165269,1516.7691040039062,-0.023012414746137,0.7824790278441589,0.5478200047489696,411.3108450818272,0.3427574161904551,0.2257948322343653,0.0751425200698323,0.651853716419078,0.5159234924094461,0.3612049772633956,0.2427838904714503,0.26245852485217974
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,3.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1603.6552401767688,1473.1256103515625,-0.0371597781210231,0.7647957757006153,0.513806402569204,427.7028574035084,0.3520453259128957,0.2089589674810797,0.0330652018082113,0.6380993130371801,0.483537292673301,0.3682710228915469,0.2590268757149677,0.2729183107410038
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,4.0,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1768.74736503001,1700.7872924804688,-0.0643988520356071,0.5757670562659298,0.3874493749915131,574.4097305104699,0.4572490161505078,0.3512947889147353,0.0865359264291075,0.4732139752062457,0.3868153290916136,0.4443139683615628,0.3075368410699942,0.36653234976219434
ceacce0,da569da,MuScaRi_ClimateDEM,dae0789a3c87,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM/dae0789a3c87,asymptotic_total,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,10,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1645.044992579771,1552.414959716797,-0.0384423557226282,0.7843015870152221,0.5434858535044442,409.5840800228462,0.3445586340775085,0.2389593281583912,0.0659623147989795,0.6497833343893442,0.5099117333014243,0.3622774054448717,0.2457990301073057,0.2613566715566356
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,0.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1215.9837499039895,1068.8861083984375,0.0434873659068024,0.5793063941012749,0.3501396505241719,572.0085871634903,0.3477741906427427,-0.1473864094328741,-0.2435576538258563,0.4521237808781393,0.2795743612895524,0.4531208740046517,0.3613225112536221,0.3650001739191735
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,1.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1282.7015718610098,1166.3042602539062,0.0202822231275284,0.6408983197090687,0.4028463690906538,528.4797021827756,0.3200451207540752,-0.0672582399350754,-0.2084955951218894,0.6141500094195942,0.3955197904756744,0.3802612673809917,0.3031712026509774,0.33722427868785326
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,2.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1473.2704930680522,1366.3092041015625,-0.0772711636227012,0.5688514039450867,0.3246358863430555,579.0726869494689,0.4644534278668354,0.1971592623733687,-0.0929720147512252,0.4388806989679688,0.3002486924650958,0.4585645185284867,0.3509535004113542,0.3695077944485268
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,3.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1316.327979441439,1209.314453125,0.0032209402145029,0.6565903451218473,0.4255607739777144,516.8039727850954,0.332929385891121,-0.0105260704833079,-0.1589509242059822,0.5898022916304723,0.4060076007270976,0.3920752781558292,0.2979111428558002,0.3297739652547642
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,fold_member,4.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1331.1640630143413,1220.1482543945312,0.0118756143229388,0.6685477034256894,0.4285216335739951,507.7268248979165,0.321241524397298,-0.0312520772762222,-0.1879508485033554,0.6319591256135833,0.4155651320744453,0.3713820175801414,0.2931176554474531,0.3239818134726732
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,finite_full_area,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1323.8895714577664,1212.2919555664062,0.0003189959898143,0.6635061925049388,0.432062182625363,511.5736079112353,0.3149175506900791,-0.0118527069508221,-0.1626114739342452,0.638203716327834,0.4397645183216175,0.36821789853809,0.280980687327779,0.32643645576371516
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,0.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1216.027157558484,1068.8861083984375,0.0434461948615308,0.5793163491151327,0.3501869403125224,572.0018193079545,0.3477201643234354,-0.1473112088110074,-0.2435574352185632,0.4522259399808294,0.2797240525083553,0.453078626706488,0.361247435070621,0.3649958553328741
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,1.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1282.920866034004,1166.3042602539062,0.0200613554373808,0.6409376194641886,0.4029725431589952,528.4507832270995,0.3199392701811241,-0.0668863344777783,-0.2084954378553183,0.6144473809169715,0.3959184998203053,0.3801147069807327,0.3029712338354308,0.33720582542668165
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,2.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1479.055852482828,1371.1255493164062,-0.0834290439832067,0.5598251835355441,0.3165721114701588,585.1028167903771,0.4745616994232358,0.207364970943345,-0.0929339158209631,0.4203795615479877,0.2906582906111307,0.4660630681707616,0.3557634737043769,0.37335563605454386
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,3.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1316.4007645510555,1209.3145141601562,0.0031369979273167,0.656569836483567,0.4255324652158783,516.8194044821225,0.3329771094525565,-0.0103878201161916,-0.1589461691737418,0.589719428501327,0.4059813202761042,0.3921148772847062,0.2979243235618156,0.3297838122609546
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,fold_member,4.0,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1332.242459757944,1220.1483154296875,0.0113058933388771,0.6685231331578778,0.4286974057629333,507.74564322111183,0.3213200734126542,-0.030049241779041,-0.182279254701122,0.6319924786955206,0.4161093528735401,0.3713651892651783,0.2928447067692837,0.32399382149386957
ceacce0,da569da,MuScaRi_ClimateDEM_Area,ad74a3020281,scripts/results/benchmark/artifacts/MuScaRi_ClimateDEM_Area/ad74a3020281,asymptotic_total,observed_area_set_to_sp_unit_area,uniform_ensemble,,178,11,bio1;pet_penman_mean;sfcWind_mean;bio12;std_bio1;std_pet_penman_mean;std_sfcWind_mean;std_bio12;elevation;std_elevation;log_sp_unit_area,legacy_maxabs_absolute_l32,32;128;512;512;128;32,absolute,absolute,legacy,maxabs,1567.1460674157304,1420.0,1325.3294200768632,1212.3410888671876,-0.0010957204836202,0.6631581957593827,0.4307753722907055,511.83807035089706,0.316748175396964,-0.0094539268481346,-0.1626114904889308,0.6363983029999236,0.437132738842544,0.3691354842784273,0.2823006308713579,0.32660520993740744
